token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
2309,ipfs://Qmcz8TLemu1SGCy9cjwSQkYTeeJG178BQjftWMyA32T5iC,0x5e6975dd6d81f76872f094e0c595927e58832332,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.52, 'price_usd': 1521.216788897441}",1.0508946315947114,3034,,Orange,Robot,,Bored Cigar,Eyepatch,Halo
231,ipfs://QmbxRyCLRimkb6QRfw2xbv9dywcGn7zKMXtxtrvRQnhao1,0x1cb1b37080d673e209eff4ef02a2b134130e88b7,,1.0331213385221694,3506,,Orange,Pink,Bone Tee,Rage,X Eyes,Beanie
2310,ipfs://Qma3Ff4HjbuFLQqCJvrqM44a9n9Uhhf33wbEk7JdtQ5zcE,0x5e6975dd6d81f76872f094e0c595927e58832332,"{'asset_type': 'ETH', 'contract_address': None, 'price': 1.9, 'price_usd': 5504.85106701314}",1.08765956535854,2238,,,,,,,
2311,ipfs://QmR1e3TrgWgYRh9AA8QcSupyS1PmSs3oJPuKZ34birnxqr,0x5e6975dd6d81f76872f094e0c595927e58832332,"{'asset_type': 'ETH', 'contract_address': None, 'price': 64.99, 'price_usd': 101823.23555721405}",0.8665980456555519,8786,Silver Hoop,Aquamarine,Dark Brown,,Bored Unshaven,Bored,Prussian Helmet
2312,ipfs://QmXMKdfJeRXbwXDiRGc9p1v8BvtdKRZfPH23g1mUFDvkTL,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 12.5, 'price_usd': 23666.539455957816}",0.9260602874802752,7087,,Army Green,Dark Brown,Admirals Coat,Bored Unshaven,Sleepy,Cowboy Hat
2313,ipfs://QmdbKkUMYTL1nPpY1MqYy2JX5rJUc9gnHx3fiZpL8X4PjX,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 24.0, 'price_usd': 79017.10420519706}",0.988652860244124,4889,,Blue,Robot,Black Holes T,Bored,Wide Eyed,Stuntman Helmet
2314,ipfs://QmSNKPMN2E4ZY69X6UfBxRthh1nFnSeguxGE1Z5vgxWzyv,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 9.99, 'price_usd': 25129.528376401533}",0.8793093174875406,8491,,Orange,Golden Brown,Bone Necklace,Grin,Closed,
2315,ipfs://QmeiW1w95otFYeUqwYtVkLAz5whho1dmHQ11NFokkacqox,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 49.0, 'price_usd': 157806.5530258926}",0.7912411022738746,9831,,Yellow,Pink,,Bored,Bored,Bowler
2316,ipfs://QmSUdfPDPhmMbwAS4rtC4CHUzmaBwb1qQ3yNQSUTWwG6S3,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 86.69, 'price_usd': 148561.83517314575}",1.005770259479826,4316,,,,,,,
2317,ipfs://QmeA2unSoMdmiay2wn2RYLjo9jNC4K6WPkB2ZZQSV2WvB9,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.4, 'price_usd': 1158.0906544000368}",0.9756408245557268,5361,,New Punk Blue,Dark Brown,Prison Jumpsuit,Discomfort,Closed,Army Hat
2318,ipfs://QmfSVqnZ3yULz3N54TRsQiFEjCk7K32Fj1nEjzVErwmdxM,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 6.5, 'price_usd': 12420.075580445215}",0.9866570745032668,4959,,,,,,,
2319,ipfs://QmP8o8N16Bud8c7512Z4DvzRaxneoVyTAKXhM6vDgJ7suA,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,,1.1974285755367664,705,,Purple,Pink,Space Suit,Bored Unshaven Bubblegum,Hypnotized,S&m Hat
