,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
935,4.78,1.0640582622766916,2762,10000,,Gray,White,Rainbow Suspenders,Bored Unshaven,X Eyes,Prussian Helmet
936,10.95,1.1825192118242929,846,10000,Silver Stud,Aquamarine,Black,Vietnam Jacket,Bored Pipe,Angry,Fez
937,1.5,1.0195378381418148,3894,10000,,Yellow,Black,Toga,Bored Unshaven Cigarette,3d,Party Hat 2
940,19.69,1.0122176215718417,4115,10000,,Purple,White,Tweed Suit,Grin,Holographic,
941,19.99,0.9232145340053324,7172,10000,Silver Hoop,Yellow,Brown,,Bored Unshaven Kazoo,Bored,
942,114.5,1.1825289910991563,845,10000,,New Punk Blue,Gray,Vietnam Jacket,Grin Gold Grill,Scumbag,Party Hat 2
943,66.25,0.7717152909678671,9906,10000,,Gray,Dark Brown,Striped Tee,Bored,Sad,
944,6.942,1.0110806852275056,4155,10000,,Aquamarine,Brown,Prison Jumpsuit,Phoneme Oh,3d,Safari
945,86.97,0.9543890597575512,6096,10000,,Yellow,Cream,Service,Dumbfounded,Crazy,
946,36.0,1.1484813387086643,1232,10000,,Orange,Zombie,Cowboy Shirt,Bored Cigarette,Blue Beams,Fez
947,2.25,1.133710000969664,1445,10000,Silver Hoop,Aquamarine,Cream,Bandolier,Bored Cigarette,Bloodshot,Bayc Hat Black
948,0.7,0.9721539896237904,5495,10000,,Aquamarine,Black,,Discomfort,Cyborg,Beanie
949,4.29,0.993321041693341,4742,10000,Silver Stud,Blue,Golden Brown,,Dumbfounded,Sunglasses,Short Mohawk
950,0.45,0.9435711887537168,6487,10000,,Purple,Cream,Rainbow Suspenders,Bored,Coins,Bowler
951,1.97,0.8684092563974595,8746,10000,,Orange,Black,Guayabera,Tongue Out,Bored,
952,130.0,1.0032687023817504,4404,10000,,Purple,Golden Brown,Sleeveless Logo T,Bored Unshaven,Holographic,Army Hat
953,110.0,0.8056810459285512,9724,10000,,Purple,Black,,Bored Cigarette,Bored,Bowler
954,7.288,0.9422528537762848,6538,10000,,Aquamarine,Tan,Cowboy Shirt,Bored Unshaven,Bloodshot,Bowler
955,2.2,1.2770747647528613,200,10000,Gold Hoop,Yellow,Brown,Lab Coat,Jovial,Hypnotized,Prussian Helmet
956,5.75,0.9578984955799564,5965,10000,,Orange,Cream,Bone Tee,Bored Unshaven,Hypnotized,Fez
957,2.2999,0.8821989337947911,8426,10000,,Gray,Golden Brown,Wool Turtleneck,Bored,Closed,Army Hat
958,12.0,1.016052882267552,3998,10000,,,,,,,
959,6.49,0.9906015066086736,4828,10000,,Army Green,White,,Bored Unshaven,Blue Beams,Fez
960,0.55,1.0056070388307523,4321,10000,Gold Stud,Gray,Robot,,Dumbfounded,Coins,
961,78.0,0.9606864809310252,5868,10000,,Gray,Cream,Black T,Phoneme L,Sunglasses,
962,1.4,1.0066839287431877,4288,10000,,Gray,Brown,Smoking Jacket,Phoneme Oh,3d,Bayc Hat Black
963,2.4,1.0120867832850833,4122,10000,,Army Green,Tan,Service,Bored Unshaven Cigar,Sleepy,
964,50.0,0.8274107112780427,9489,10000,,Blue,Brown,,Dumbfounded,Bored,
965,53.89,0.92969298529673,6963,10000,,Blue,Tan,Sailor Shirt,Bored Unshaven,Coins,Horns
966,3.25,0.9503619984135642,6242,10000,,Orange,Cheetah,Striped Tee,Bored Unshaven,Eyepatch,Horns
967,0.4,1.0800623733781338,2410,10000,,,,,,,
969,133.88,0.970964706214962,5541,10000,,Gray,Brown,Navy Striped Tee,Phoneme Wah,Bloodshot,Horns
970,64.89,0.7910461549617526,9832,10000,,Army Green,Brown,,Bored Cigarette,Bored,Halo
971,18.5,1.1085213646568928,1829,10000,Silver Hoop,Yellow,Dark Brown,Tanktop,Phoneme  ooo,3d,Beanie
972,1.25,1.0020925873276882,4435,10000,,Yellow,Robot,Bayc T Red,Grin Multicolored,Bored,
973,50.0,0.9387136061759812,6674,10000,,Gray,Red,Tweed Suit,Bored,Bloodshot,Bayc Flipped Brim
974,160.69,0.9326771067977544,6867,10000,,Orange,Blue,Sailor Shirt,Bored Cigarette,Bored,Spinner Hat
975,84.4,1.180408592531936,868,10000,Gold Hoop,Orange,Brown,Toga,Grin,Crazy,Faux Hawk
976,88.0,0.9305328405531432,6947,10000,,New Punk Blue,Cheetah,,Dumbfounded,Closed,Horns
977,89.2526,1.3629964470909004,33,10000,,,,,,,
978,85.0,1.0586720663160911,2879,10000,,Gray,Robot,Work Vest,Dumbfounded,Heart,Army Hat
979,82.0,1.110495647111846,1797,10000,,,,,,,
980,55.7,1.061699639623333,2808,10000,,Gray,Dark Brown,Work Vest,Phoneme  ooo,Scumbag,Safari
981,1.4,1.0231864601666223,3794,10000,,Army Green,Red,Lab Coat,Bored Unshaven,Blindfold,Bunny Ears
982,1.5,1.1335090533156755,1450,10000,Gold Hoop,Army Green,Trippy,Toga,Phoneme Wah,Bored,
983,116.8,0.9756226625658247,5362,10000,,Aquamarine,Dark Brown,Striped Tee,Small Grin,3d,Safari
984,215.0,0.9745509700978529,5395,10000,,Aquamarine,Trippy,Service,Bored Unshaven,Sleepy,
985,5.0,0.9347439904115398,6796,10000,,Yellow,Black,Service,Dumbfounded,Zombie,
986,69.5,0.9492260321417592,6275,10000,,Blue,Red,Caveman Pelt,Bored Unshaven,Bloodshot,Irish Boho
987,5.5,0.8496892571093023,9121,10000,,Yellow,Blue,Stunt Jacket,Bored,Closed,
988,0.4,0.9623096325432272,5806,10000,Silver Stud,Aquamarine,Tan,,Phoneme L,Bored,Commie Hat
989,56.1,1.0005775133428552,4488,10000,,Aquamarine,Red,Caveman Pelt,Discomfort,Coins,
990,99.79,1.0683658829293778,2658,10000,Cross,Army Green,White,,Bored Unshaven,Closed,Prussian Helmet
